abseil-cpp 20230802.2
acts-common v44.0.1
acts-core v44.0.1
acts-covfie v44.0.1
acts-dd4hep v44.0.1
acts-detray v44.0.1
acts-fastjet v44.0.1
acts-geant4 v44.0.1
acts-json v44.0.1
acts-root v44.0.1
acts-svg v44.0.1
actsdata v10
actsvg v44.0.1
alpaka-cuda 2.1.1
alpaka-rocm 2.1.1
alpaka-serial 2.1.1
alpaka-tbb 2.1.1
alpaka 2.1.1
alpgen 214
aotriton 0.13b
axol1tl 6.0.4
blackhat 0.9.9
boost 1.91.0
boost_chrono 1.91.0
boost_filesystem 1.91.0
boost_header 1.91.0
boost_iostreams 1.91.0
boost_mpi 1.91.0
boost_program_options 1.91.0
boost_python 1.91.0
boost_regex 1.91.0
boost_serialization 1.91.0
boost_system 1.91.0
boost_test 1.91.0
bz2lib 1.0.8
c-ares 1.15.0
c-blosc2 3.2.1
catch2 3.13.0
celeritas 0.7.0-devX
cepgen 1.2.5
cicada 1.4.0
clang-uml 0.6.2x
classlib 3.1.3
clhep 2.4.7.2
clhepheader 2.4.7.2
clue 1.1.1
CLUEstering 2.11.0
cmssw-config V09-09-09
cmsswdata 43.0
collier 1.2.8
conifer 1.7
coral CORAL_2_3_21
correctionlib 2.9.0
covfie v44.0.1
cppunit 1.15.x
cpu_features 0.9.0
csctrackfinderemulation 1.2
cuda-compatible-runtime 2.0
cuda-cublas 13.3.1
cuda-cufft 13.3.1
cuda-curand 13.3.1
cuda-cusolver 13.3.1
cuda-cusparse 13.3.1
cuda-gcc-support 13.3.1
cuda-interface 13.3.1
cuda-npp 13.3.1
cuda-nvgraph 13.3.1
cuda-nvjpeg 13.3.1
cuda-nvml 13.3.1
cuda-nvrtc 13.3.1
cuda-stubs 13.3.1
cuda 13.3.1
cudnn 9.23.0.39
cupti 13.3.1
curl 8.13.0
dablooms 0.9.1
das_client v03.01.00
davix 0.8.9
db6 6.2.32
dcap 2.47.14
dd4hep-core v01-37x
dd4hep-geant4 v01-37x
dd4hep v01-37x
detray v44.0.1
dip-platform-dependent 8693f00cc422b4a15858fcd84249acaeb07b6316
dip 8693f00cc422b4a15858fcd84249acaeb07b6316
dip_interface 8693f00cc422b4a15858fcd84249acaeb07b6316
eigen c1d637433e3b3f9012b226c2c9125c494b470ae6
emtf_nn 1.0.2
evtgen 2.0.0
expat 2.7.1
fastjet-contrib-archive 1.101
fastjet-contrib 1.101
